City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Umm Lajj,SA,2022-07-07 23:17:32,25.0213,37.2685,84.99,43,47,7.49
241,Warmbad,NA,2022-07-07 23:17:32,-28.45,18.7333,58.71,30,0,7.67
242,Port Lincoln,AU,2022-07-07 23:13:02,-34.7333,135.8667,53.49,72,67,10.45
243,Porto Walter,BR,2022-07-07 23:17:32,-8.2686,-72.7439,79.3,75,99,2.24
244,Maridi,SS,2022-07-07 23:17:33,4.9158,29.4742,65.95,97,100,3.44
245,Esperance,AU,2022-07-07 23:17:33,-33.8667,121.9,52.43,80,36,15.43
246,Puerto Baquerizo Moreno,EC,2022-07-07 23:12:37,-0.9,-89.6,71.73,78,61,9.93
247,La Paz,BO,2022-07-07 23:17:33,-16.5,-68.15,51.78,31,20,11.5
248,Zeya,RU,2022-07-07 23:17:34,53.75,127.2667,72.7,61,86,2.48
249,Pontes E Lacerda,BR,2022-07-07 23:17:34,-15.2261,-59.3353,73.69,36,1,0.76
250,Buala,SB,2022-07-07 23:17:34,-8.145,159.5921,82.92,74,67,9.01
251,Marsh Harbour,BS,2022-07-07 23:17:35,26.5412,-77.0636,82.45,72,14,12.68
252,Tautira,PF,2022-07-07 23:17:35,-17.7333,-149.15,78.04,72,1,10.18
253,Tecoanapa,MX,2022-07-07 23:17:36,16.5167,-98.75,84.02,67,98,6.08
254,Thompson,CA,2022-07-07 23:14:13,55.7435,-97.8558,74.84,36,87,2.48
255,Christiana,ZA,2022-07-07 23:17:36,-27.914,25.1611,47.89,21,0,3.94
256,Saint-Junien,FR,2022-07-07 23:12:45,45.8833,0.9,66.78,73,6,5.1
257,Castro,BR,2022-07-07 23:17:36,-24.7911,-50.0119,56.7,76,95,2.73
258,Iranshahr,IR,2022-07-07 23:17:37,27.2025,60.6848,91.24,41,100,5.44
259,Husavik,IS,2022-07-07 23:17:37,66.0449,-17.3389,48.38,96,100,9.95
260,Hagi,JP,2022-07-07 23:17:37,34.4,131.4167,82.49,83,100,5.5
261,Burgeo,CA,2022-07-07 23:15:16,47.6167,-57.6152,56.98,86,57,18.39
262,Kinablangan,PH,2022-07-07 23:17:38,7.6947,126.5503,79.2,82,98,2.8
263,Bambous Virieux,MU,2022-07-07 23:17:38,-20.3428,57.7575,70.05,68,40,12.66
264,Carnarvon,AU,2022-07-07 23:17:38,-24.8667,113.6333,63.48,25,0,8.34
265,Asfi,MA,2022-07-07 23:17:39,32.2994,-9.2372,73.63,69,0,13.18
266,Cayenne,GF,2022-07-07 23:17:39,4.9333,-52.3333,83.08,12,0,5.75
267,Waverly,US,2022-07-07 23:17:39,42.7392,-84.6208,84.15,64,75,5.75
268,Neiafu,TO,2022-07-07 23:17:39,-18.65,-173.9833,79.48,65,20,10.36
269,Camp Verde,US,2022-07-07 23:17:40,34.5636,-111.8543,101.66,13,0,12.59
270,Mentakab,MY,2022-07-07 23:18:40,3.4865,102.3516,73.44,98,71,0.38
271,Ishim,RU,2022-07-07 23:18:40,56.1128,69.4902,58.06,91,22,5.79
272,San Carlos De Bariloche,AR,2022-07-07 23:16:43,-41.1456,-71.3082,37.24,81,75,2.3
273,San Quintin,MX,2022-07-07 23:18:41,30.4833,-115.95,71.98,69,0,14.94
274,Sobolevo,RU,2022-07-07 23:18:41,54.4299,31.8996,54.86,85,100,3.67
275,Acapulco,MX,2022-07-07 23:18:41,16.8634,-99.8901,87.62,66,40,3.44
276,Dingle,PH,2022-07-07 23:18:42,10.9995,122.6711,78.49,90,99,0.34
277,Beringovskiy,RU,2022-07-07 23:18:42,63.05,179.3167,48.22,83,54,7.23
278,Emba,KZ,2022-07-07 23:18:42,48.8264,58.1442,60.26,62,0,7.7
279,Ancud,CL,2022-07-07 23:18:42,-41.8697,-73.8203,49.23,89,100,17.05
280,Knysna,ZA,2022-07-07 23:18:43,-34.0363,23.0471,54.14,74,9,2.35
281,Kavieng,PG,2022-07-07 23:18:44,-2.5744,150.7967,81.34,79,100,14.72
282,Sumkino,RU,2022-07-07 23:18:44,58.1108,68.3244,55.69,79,19,3.94
